City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Coihaique,-45.5752,-72.0662,45.21,81,0,5.75,CL,2021-12-12 04:41:18
99,Constitucion,-35.3333,-72.4167,50.23,89,0,5.73,CL,2021-12-12 04:41:18
100,Sisimiut,66.9395,-53.6735,19.42,89,100,5.77,GL,2021-12-12 04:41:18
101,Kemijarvi,66.7131,27.4306,24.44,96,100,6.06,FI,2021-12-12 04:41:19
102,Hofn,64.2539,-15.2082,42.26,88,100,28.72,IS,2021-12-12 04:41:19
103,Los Alamos,35.8881,-106.307,28.65,38,1,1.01,US,2021-12-12 04:41:19
104,Freeport,40.6576,-73.5832,59.36,81,90,8.99,US,2021-12-12 04:38:35
105,Huanan,46.2167,130.5167,12.67,85,98,21.3,CN,2021-12-12 04:41:20
106,Tsiroanomandidy,-18.7667,46.0333,77.16,49,69,5.01,MG,2021-12-12 04:41:20
107,Rocha,-34.4833,-54.3333,57.24,95,1,6.08,UY,2021-12-12 04:36:27
108,Chuy,-33.6971,-53.4616,60.17,89,0,5.53,UY,2021-12-12 04:41:21
109,Kokopo,-4.352,152.2633,83.86,78,69,9.33,PG,2021-12-12 04:41:21
110,Barrow,71.2906,-156.7887,-5.78,77,1,11.5,US,2021-12-12 04:41:21
111,Pangkalanbuun,-2.6833,111.6167,84.13,79,92,4.92,ID,2021-12-12 04:41:22
112,Jamestown,42.097,-79.2353,36.99,71,90,8.01,US,2021-12-12 04:41:22
113,Sangin,32.0728,64.8359,53.35,20,2,2.35,AF,2021-12-12 04:41:22
114,Saint-Philippe,-21.3585,55.7679,81.99,75,87,14.14,RE,2021-12-12 04:41:23
115,Hithadhoo,-0.6,73.0833,80.69,77,92,8.88,MV,2021-12-12 04:41:23
116,Susanville,40.4163,-120.653,37.24,52,1,5.75,US,2021-12-12 04:41:23
117,Brigantine,39.4101,-74.3646,57.49,89,90,12.66,US,2021-12-12 04:41:24
118,Orotukan,62.2667,151.7,-19.61,98,100,2.71,RU,2021-12-12 04:41:24
119,Mehamn,71.0357,27.8492,27.19,81,100,8.16,NO,2021-12-12 04:41:24
120,Guerrero Negro,27.9769,-114.0611,62.04,64,0,11.41,MX,2021-12-12 04:41:25
121,Yatsuo,36.5667,137.1333,57.7,56,98,5.99,JP,2021-12-12 04:41:25
122,Torrington,41.8007,-73.1212,59.43,75,100,17.49,US,2021-12-12 04:41:26
123,Suslovo,56.2167,88.1167,13.89,91,100,10.58,RU,2021-12-12 04:41:26
124,Maceio,-9.6658,-35.7353,76.44,94,40,3.44,BR,2021-12-12 04:41:26
125,Paamiut,61.994,-49.6678,23.25,84,100,22.08,GL,2021-12-12 04:41:27
126,Dhidhdhoo,6.8833,73.1,82.53,71,67,8.57,MV,2021-12-12 04:41:27
127,Taoudenni,22.6783,-3.9836,61.39,22,8,10.04,ML,2021-12-12 04:41:27
128,Kaiyuan,23.6977,103.3037,65.1,63,90,5.46,CN,2021-12-12 04:41:28
129,Sinjar,36.3209,41.8754,47.86,40,0,3.2,IQ,2021-12-12 04:41:28
130,Kaitangata,-46.2817,169.8464,55.92,57,3,9.57,NZ,2021-12-12 04:41:28
131,Kodiak,57.79,-152.4072,9.91,56,1,42.57,US,2021-12-12 04:37:11
132,Ribeira Grande,38.5167,-28.7,61.86,68,100,15.82,PT,2021-12-12 04:41:29
133,Bundaberg,-24.85,152.35,86.29,52,6,7.0,AU,2021-12-12 04:41:29
134,Bodden Town,19.2833,-81.25,77.94,86,0,9.51,KY,2021-12-12 04:41:29
135,Tigil,57.8,158.6667,25.09,77,100,11.86,RU,2021-12-12 04:41:30
136,Hambantota,6.1241,81.1185,79.14,100,40,4.61,LK,2021-12-12 04:41:30
137,Ostrovnoy,68.0531,39.5131,22.8,91,98,15.14,RU,2021-12-12 04:41:30
138,Svetlogorsk,52.6333,29.7333,39.31,97,100,6.17,BY,2021-12-12 04:41:31
