City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
457,Puri,IN,77.52,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
458,Cururupu,BR,77.25,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
466,Panacan,PH,83.59,9.2463,118.4082,Mom's Place Resort
468,Srandakan,ID,77.74,-7.9386,110.2506,Puri Brata
469,Souillac,MU,83.35,-20.5167,57.5167,Shanti Maurice Resort & Spa
472,Pio Xii,BR,75.58,-3.8325,-45.1525,BACURI DOS QUARESMAS
474,Ciudad Bolivar,VE,76.17,8.1222,-63.5497,Hotel Edi
476,Mazagao,BR,80.65,-0.115,-51.2894,Recanto dos Ferreiras
479,Ambilobe,MG,83.88,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
480,Tela,HN,77.22,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
482,Wanlaweyn,SO,79.03,2.6185,44.8938,GAASHAAN HOME
486,Sarangani,PH,83.71,5.4033,125.4636,Ballistic Islet
488,Kupang,ID,77.58,-10.1667,123.5833,Hotel On The Rock by Prasanthi
491,Oranjestad,AW,78.75,12.524,-70.027,Divi Village Golf & Beach Resort
498,Juan De Acosta,CO,78.39,10.8281,-75.0334,Cabañas Magdalena del Mar
506,Plaridel,PH,89.64,14.8872,120.8572,St. Agatha Resort
507,Cap Malheureux,MU,83.46,-19.9842,57.6142,Pereybere Hotel & Spa
514,Mont-Dore,NC,86.0,-22.2833,166.5833,GIte
517,Mackay,AU,86.68,-21.15,149.2,International Lodge Motel
518,Rabaul,PG,84.56,-4.1967,152.1721,Rabaul Hotel
521,Ipilan,PH,84.49,8.8431,117.9033,Brookes Inn
528,Omboue,GA,75.04,-1.5746,9.2618,Hotel Olako
